state_region,city_tier,employment_type,monthly_income_inr,age,loan_amount_inr,loan_tenure_months,loan_purpose,existing_emis_inr,credit_score,prior_defaults,active_loans,bank_account_age_years,digital_payment_score,residential_status,collateral_type,dependents,delinquency_30dpd_last_12m,debt_to_income_pct,loan_to_income_ratio,defaulted
West,Metro,Salaried,24400,21,191000,48,Consumer durable,200,526,1,1,3.6,83,Family owned,Vehicle,1,1,2.4,0.65,0
South,Tier 2,Salaried,46800,42,87000,48,Consumer durable,8600,768,0,0,4.8,86,Rented,Gold,0,0,18.7,0.15,0
North,Metro,Business owner,77700,50,69000,48,Home improvement,13100,607,0,1,12.0,66,Owned,None,2,1,17.0,0.07,0
South,Tier 1,Business owner,52900,24,733000,6,Personal,19400,891,0,0,3.0,40,Rented,Gold,1,0,58.6,1.15,0
South,Metro,Business owner,17600,29,282000,24,Consumer durable,2800,672,0,0,1.1,50,Owned,Property,0,0,22.3,1.34,0
North,Tier 2,Salaried,44700,27,212000,18,Consumer durable,12100,664,0,2,3.4,70,Owned,None,4,0,29.6,0.4,0
West,Metro,Salaried,14700,31,871000,18,Business,2300,700,0,1,2.2,77,Company provided,Gold,2,0,46.9,4.94,1
West,Tier 2,Gig/Contract,65700,40,406000,18,Medical,22600,566,1,0,7.6,85,Rented,None,3,1,37.7,0.51,0
East,Tier 3/Rural,Salaried,28800,32,660000,24,Business,1900,760,0,0,3.9,30,Owned,None,2,0,15.7,1.91,0
West,Tier 3/Rural,Self-employed,21500,43,97000,24,Consumer durable,7600,647,1,2,10.0,83,Rented,None,1,0,37.1,0.38,0
West,Tier 1,Salaried,66200,47,95000,36,Personal,6600,727,0,0,4.7,93,Company provided,None,2,0,10.3,0.12,0
South,Tier 2,Salaried,57400,47,312000,18,Medical,1600,764,0,2,2.2,24,Rented,None,2,0,5.7,0.45,0
East,Tier 2,Business owner,47900,25,274000,18,Personal,8900,544,1,3,9.3,67,Family owned,Vehicle,2,0,21.6,0.48,0
West,Tier 1,Salaried,140800,50,471000,18,Two-wheeler,38100,780,0,0,3.1,81,Family owned,None,0,0,28.8,0.28,0
South,Tier 2,Unemployed,59800,51,72000,36,Personal,3500,585,1,1,1.1,42,Rented,Property,3,0,6.2,0.1,0
West,Metro,Salaried,29600,52,330000,6,Education,5100,675,0,1,6.7,58,Rented,None,1,0,34.9,0.93,0
South,Tier 3/Rural,Salaried,56100,34,398000,36,Personal,1500,759,0,3,3.5,77,Rented,Vehicle,1,0,4.5,0.59,0
West,Metro,Salaried,36000,28,384000,18,Consumer durable,6800,761,0,1,7.0,58,Family owned,Gold,2,0,24.5,0.89,0
East,Tier 3/Rural,Salaried,84700,26,160000,24,Business,2500,531,0,0,8.5,60,Rented,None,4,0,3.7,0.16,0
Central,Tier 2,Self-employed,49200,25,293000,36,Consumer durable,500,856,0,1,6.2,71,Owned,Gold,1,0,2.6,0.5,0
Central,Tier 1,Salaried,52000,36,126000,24,Two-wheeler,2000,731,1,1,3.6,46,Owned,Vehicle,0,0,4.8,0.2,0
West,Tier 2,Self-employed,19100,44,173000,36,Personal,400,630,0,0,9.5,48,Rented,None,4,0,4.5,0.75,0
West,Metro,Business owner,43600,49,106000,60,Home improvement,11600,653,0,2,2.9,75,Family owned,None,4,0,27.0,0.2,0
East,Tier 2,Salaried,40900,31,128000,6,Business,9100,746,1,0,7.0,84,Family owned,Gold,1,1,27.2,0.26,0
South,Tier 2,Salaried,24000,36,179000,18,Business,600,708,1,1,7.8,74,Rented,Gold,3,0,6.4,0.62,0
East,Metro,Salaried,37400,35,152000,60,Medical,13400,771,0,2,5.6,92,Owned,None,3,0,36.5,0.34,0
West,Metro,Gig/Contract,53600,30,128000,48,Medical,4700,761,0,1,8.4,75,Owned,Vehicle,0,0,9.2,0.2,0
North,Tier 2,Self-employed,42100,43,90000,36,Business,1500,770,0,2,6.3,100,Family owned,None,2,0,4.1,0.18,0
North,Tier 1,Salaried,19400,40,748000,12,Consumer durable,10400,592,0,2,6.8,68,Rented,None,0,2,84.1,3.21,0
Central,Tier 3/Rural,Self-employed,36300,37,151000,18,Home improvement,1300,711,0,0,8.4,72,Family owned,Gold,3,0,5.8,0.35,0
North,Tier 2,Self-employed,32600,40,259000,48,Business,4700,800,0,1,6.1,74,Owned,Fixed deposit,0,1,16.0,0.66,0
South,Tier 2,Salaried,46900,42,67000,36,Two-wheeler,6400,777,0,0,9.0,56,Rented,None,2,0,14.0,0.12,0
South,Tier 1,Salaried,44200,42,505000,18,Personal,11700,749,0,0,11.0,53,Family owned,None,3,0,32.5,0.95,0
North,Tier 2,Unemployed,33600,28,233000,12,Personal,5000,586,0,2,7.1,51,Owned,None,0,1,20.4,0.58,0
South,Tier 3/Rural,Salaried,32900,45,157000,48,Home improvement,3700,704,1,0,8.5,57,Owned,Gold,2,1,12.2,0.4,0
East,Metro,Salaried,43800,39,157000,24,Business,25200,670,0,1,5.6,100,Rented,None,0,0,59.0,0.3,0
North,Tier 1,Salaried,71700,32,368000,84,Two-wheeler,3700,758,1,1,11.1,100,Rented,None,0,0,5.7,0.43,0
East,Tier 1,Self-employed,49200,38,31000,24,Business,8400,646,0,1,6.5,61,Company provided,None,3,1,17.3,0.05,0
Central,Tier 1,Salaried,92300,39,122000,18,Personal,32500,688,0,1,8.1,59,Family owned,Property,3,0,35.9,0.11,0
South,Tier 2,Salaried,78700,47,193000,18,Two-wheeler,22100,684,0,2,2.2,28,Family owned,None,2,1,29.4,0.2,0
North,Tier 1,Salaried,96100,26,192000,24,Consumer durable,4100,646,1,0,7.7,49,Owned,Gold,3,1,5.1,0.17,1
West,Tier 2,Self-employed,89600,49,1065000,18,Two-wheeler,22600,735,0,1,5.8,52,Rented,None,0,0,31.5,0.99,0
North,Tier 1,Salaried,99700,36,168000,6,Personal,32300,629,0,2,7.6,59,Family owned,None,2,0,35.1,0.14,0
South,Metro,Business owner,22400,31,398000,18,Education,2500,732,0,1,8.0,57,Rented,None,3,1,20.5,1.48,0
Northeast,Tier 1,Salaried,60200,31,678000,12,Two-wheeler,2500,801,0,1,8.5,71,Company provided,None,3,0,13.1,0.94,0
Northeast,Tier 3/Rural,Salaried,82500,26,323000,48,Home improvement,23100,736,0,0,7.8,81,Rented,None,1,0,28.8,0.33,0
East,Tier 2,Business owner,91100,21,135000,12,Consumer durable,5700,594,0,0,4.9,54,Owned,None,1,0,7.4,0.12,0
South,Tier 1,Gig/Contract,27600,43,91000,24,Business,9100,701,0,1,13.3,93,Rented,None,2,0,34.3,0.27,0
West,Tier 3/Rural,Salaried,60600,56,339000,36,Business,26500,615,0,1,10.0,73,Rented,None,0,1,45.2,0.47,0
East,Metro,Business owner,44000,21,609000,12,Two-wheeler,2900,597,0,1,5.2,83,Owned,None,3,0,17.5,1.15,0
South,Tier 1,Self-employed,116500,26,298000,24,Business,2200,669,0,0,5.0,59,Rented,None,1,0,2.9,0.21,1
West,Tier 1,Salaried,19700,44,466000,48,Two-wheeler,7900,846,0,0,0.5,77,Family owned,None,2,0,44.8,1.97,0
North,Tier 3/Rural,Business owner,27600,36,1127000,24,Personal,8000,704,0,1,2.7,75,Owned,None,1,0,45.1,3.4,0
North,Tier 2,Gig/Contract,15600,44,360000,24,Medical,10500,704,0,1,3.4,93,Rented,Gold,2,0,76.4,1.92,0
West,Tier 2,Salaried,45700,35,102000,48,Education,13900,820,0,2,5.1,79,Rented,Property,4,0,30.9,0.19,0
North,Metro,Self-employed,146500,30,216000,60,Education,5100,785,0,1,10.9,82,Family owned,Gold,2,1,3.7,0.12,0
North,Metro,Salaried,41200,34,509000,48,Personal,19300,600,0,1,4.7,57,Rented,None,4,0,49.3,1.03,0
East,Tier 2,Salaried,44600,21,178000,24,Medical,5200,861,0,1,2.7,89,Company provided,Fixed deposit,1,1,13.2,0.33,0
Northeast,Tier 1,Unemployed,57100,25,556000,36,Personal,7200,703,0,0,7.5,44,Family owned,Fixed deposit,1,0,15.2,0.81,0
West,Tier 3/Rural,Self-employed,39600,45,200000,24,Two-wheeler,7900,796,0,0,7.8,57,Rented,None,3,0,21.9,0.42,0
East,Tier 2,Self-employed,51600,48,260000,18,Medical,25900,665,0,0,4.8,72,Owned,None,0,0,52.9,0.42,0
Northeast,Tier 1,Self-employed,52400,50,166000,24,Education,100,606,0,1,10.1,46,Family owned,Vehicle,1,0,1.4,0.26,0
North,Tier 2,Self-employed,26500,40,232000,48,Consumer durable,6000,744,0,0,10.5,50,Owned,Fixed deposit,2,0,24.4,0.73,0
South,Tier 3/Rural,Salaried,40100,21,240000,18,Personal,8400,624,0,1,1.6,50,Family owned,Vehicle,1,1,24.1,0.5,0
South,Tier 1,Unemployed,63500,30,73000,60,Home improvement,18500,776,0,0,7.8,74,Rented,Gold,3,0,29.3,0.1,0
North,Tier 2,Self-employed,70300,49,157000,84,Consumer durable,15400,629,0,0,1.0,64,Rented,Gold,2,0,22.2,0.19,0
East,Tier 3/Rural,Self-employed,86200,52,94000,18,Business,3200,741,0,2,5.1,84,Rented,Fixed deposit,1,1,4.3,0.09,0
South,Tier 1,Salaried,50700,50,160000,12,Business,13300,787,0,0,16.9,100,Rented,None,1,0,28.7,0.26,0
South,Tier 3/Rural,Salaried,51300,34,125000,60,Two-wheeler,6000,760,0,1,7.6,72,Family owned,None,1,0,12.1,0.2,0
North,Metro,Salaried,63700,23,403000,12,Home improvement,600,697,0,2,3.7,58,Owned,Vehicle,2,0,6.0,0.53,0
North,Tier 2,Salaried,30400,36,406000,48,Consumer durable,4700,594,0,2,8.1,74,Family owned,None,0,0,18.1,1.11,0
Central,Tier 3/Rural,Salaried,29700,36,301000,6,Business,11200,597,0,0,3.5,51,Owned,None,3,0,53.8,0.84,0
North,Tier 2,Self-employed,39400,52,92000,12,Consumer durable,3100,671,0,1,6.6,66,Family owned,None,0,0,9.7,0.19,0
North,Tier 2,Business owner,20900,38,196000,18,Business,9700,562,0,0,3.1,100,Family owned,None,1,2,51.4,0.78,0
South,Tier 2,Salaried,52800,36,87000,18,Business,27000,676,0,1,4.4,63,Rented,None,2,1,52.0,0.14,0
West,Metro,Salaried,75100,37,190000,60,Two-wheeler,30200,668,0,0,10.1,72,Owned,Gold,1,1,40.6,0.21,0
West,Metro,Self-employed,28600,40,318000,12,Business,9600,508,1,0,13.1,64,Family owned,None,2,1,42.4,0.93,0
West,Tier 1,Salaried,53600,42,398000,12,Medical,28900,646,0,3,6.6,60,Family owned,Gold,2,0,59.8,0.62,0
North,Tier 2,Business owner,29900,29,284000,36,Business,13600,623,0,0,8.6,76,Rented,None,1,0,48.0,0.79,0
South,Tier 1,Salaried,24100,25,474000,60,Personal,4300,636,1,2,4.0,44,Rented,Property,2,0,21.0,1.64,0
Central,Tier 1,Salaried,130700,50,247000,24,Business,75600,624,0,1,2.8,64,Family owned,Gold,4,2,58.6,0.16,0
West,Tier 3/Rural,Salaried,24300,21,180000,48,Home improvement,11400,755,0,4,6.2,43,Owned,Fixed deposit,0,0,48.4,0.62,0
West,Tier 1,Business owner,20900,52,369000,6,Consumer durable,13500,708,0,2,5.9,95,Rented,None,2,1,92.5,1.47,0
West,Tier 1,Salaried,47500,21,377000,48,Personal,9700,727,0,0,17.4,85,Rented,None,1,0,22.0,0.66,0
East,Tier 1,Self-employed,48900,30,149000,36,Personal,16500,784,0,4,5.0,53,Owned,Vehicle,3,0,34.5,0.25,0
North,Metro,Salaried,60900,46,267000,60,Two-wheeler,10000,502,1,1,4.9,34,Family owned,Vehicle,0,1,17.1,0.37,0
South,Tier 2,Salaried,126800,36,173000,36,Personal,13700,791,0,0,7.6,76,Owned,None,0,0,11.2,0.11,0
West,Tier 1,Business owner,27500,23,57000,60,Consumer durable,6600,764,0,0,3.9,66,Family owned,Gold,1,0,24.3,0.17,0
South,Metro,Salaried,30700,40,278000,24,Education,5000,706,0,4,3.4,100,Rented,Gold,2,1,19.9,0.75,0
Central,Tier 3/Rural,Salaried,102200,37,90000,36,Education,1300,653,0,1,7.0,92,Rented,None,0,1,1.5,0.07,0
West,Tier 3/Rural,Self-employed,70700,34,259000,36,Personal,13300,724,0,2,2.0,78,Rented,Gold,3,1,19.8,0.31,0
East,Tier 2,Business owner,65500,30,77000,18,Education,4500,762,0,0,7.4,57,Rented,None,1,0,7.5,0.1,0
Central,Tier 3/Rural,Salaried,30500,36,131000,60,Consumer durable,6400,605,0,0,4.2,62,Family owned,None,3,0,21.7,0.36,0
West,Tier 3/Rural,Salaried,78400,30,158000,48,Education,18900,799,0,2,8.4,72,Rented,Property,3,0,24.5,0.17,0
Central,Tier 1,Unemployed,65600,60,456000,48,Personal,13200,793,0,2,11.2,73,Family owned,None,2,0,21.5,0.58,0
West,Tier 2,Self-employed,46800,34,148000,18,Personal,3800,579,1,1,3.4,54,Rented,Vehicle,2,2,9.8,0.26,0
Central,Tier 2,Business owner,30600,32,104000,48,Consumer durable,4800,805,0,1,4.8,42,Owned,Vehicle,2,1,16.4,0.28,0
South,Tier 1,Gig/Contract,44700,31,265000,18,Consumer durable,20800,778,0,1,9.7,100,Owned,Fixed deposit,3,0,49.7,0.49,0
West,Tier 1,Self-employed,104500,54,181000,84,Personal,18400,748,0,0,6.5,68,Family owned,None,0,0,17.8,0.14,0
West,Metro,Salaried,23100,21,349000,6,Business,6200,552,1,3,13.3,75,Rented,None,3,1,50.8,1.26,0
North,Tier 2,Salaried,27200,40,108000,36,Personal,1800,702,0,0,6.7,52,Rented,None,2,0,7.7,0.33,0
South,Tier 3/Rural,Gig/Contract,29900,34,240000,12,Business,4700,612,0,1,10.9,92,Rented,Gold,3,2,22.1,0.67,0
Central,Tier 2,Gig/Contract,33700,22,1041000,36,Personal,10900,647,1,2,2.5,86,Rented,None,2,1,40.5,2.57,0
West,Tier 1,Business owner,41800,28,179000,18,Medical,1300,679,0,1,3.3,68,Rented,Vehicle,2,0,5.4,0.36,0
North,Metro,Self-employed,71500,39,236000,48,Consumer durable,11400,860,0,2,12.3,71,Rented,None,1,0,16.6,0.28,0
South,Tier 1,Salaried,54400,27,71000,48,Personal,4000,743,0,0,3.2,72,Company provided,None,1,0,7.6,0.11,0
North,Tier 2,Self-employed,43600,39,120000,18,Education,6500,783,0,0,12.4,69,Owned,Property,1,0,16.4,0.23,0
North,Tier 3/Rural,Self-employed,49100,53,282000,48,Personal,16600,650,0,1,3.6,77,Rented,Vehicle,2,0,34.9,0.48,0
Central,Tier 3/Rural,Salaried,59500,38,169000,36,Two-wheeler,5000,665,1,3,2.2,74,Owned,None,1,0,9.2,0.24,1
South,Tier 3/Rural,Gig/Contract,16700,21,312000,24,Personal,4800,693,0,2,5.0,64,Family owned,Gold,4,0,36.1,1.56,0
South,Tier 3/Rural,Self-employed,76100,28,275000,18,Two-wheeler,4600,640,0,2,2.5,46,Rented,None,3,1,8.0,0.3,0
West,Tier 3/Rural,Salaried,26800,33,89000,12,Consumer durable,6900,620,0,0,7.9,67,Rented,Vehicle,3,3,28.4,0.28,0
North,Tier 1,Self-employed,33100,32,404000,6,Personal,9300,631,0,3,1.0,81,Family owned,None,3,0,47.4,1.02,0
South,Metro,Self-employed,50900,38,93000,24,Medical,6800,743,0,1,15.1,79,Rented,None,1,0,14.1,0.15,0
East,Metro,Business owner,40500,39,127000,24,Personal,1400,673,0,2,5.9,91,Owned,None,3,2,4.7,0.26,0
West,Tier 1,Salaried,55100,53,243000,24,Education,2700,615,0,1,8.2,93,Rented,None,1,1,6.6,0.37,0
Northeast,Tier 1,Self-employed,45600,36,579000,60,Education,22900,683,1,2,8.8,80,Owned,Vehicle,0,1,52.2,1.06,1
West,Metro,Self-employed,36000,24,109000,6,Consumer durable,16000,888,0,1,6.3,70,Family owned,None,0,0,49.2,0.25,0
South,Tier 3/Rural,Self-employed,97800,48,230000,48,Personal,15200,621,0,0,7.3,73,Family owned,None,0,0,16.0,0.2,0
East,Metro,Salaried,62300,49,231000,48,Personal,10800,702,0,2,4.6,57,Family owned,None,1,0,18.1,0.31,0
Central,Tier 3/Rural,Business owner,49800,38,320000,36,Home improvement,4900,771,1,0,8.8,81,Family owned,None,1,0,11.5,0.54,0
East,Tier 2,Business owner,61800,34,451000,24,Home improvement,30200,691,0,0,1.0,91,Family owned,Gold,4,0,51.8,0.61,0
Northeast,Tier 2,Self-employed,28600,42,161000,12,Business,10400,596,1,2,13.6,86,Rented,None,1,3,40.8,0.47,1
East,Tier 2,Self-employed,139500,34,403000,48,Personal,87300,778,0,2,4.5,77,Owned,Vehicle,3,0,63.2,0.24,0
Central,Tier 1,Salaried,23200,21,496000,36,Personal,5700,802,0,0,9.4,63,Rented,Vehicle,3,0,30.2,1.78,0
North,Tier 2,Self-employed,44900,42,666000,48,Medical,7000,865,0,5,10.3,61,Family owned,None,3,0,18.5,1.24,0
East,Metro,Salaried,36000,45,290000,12,Business,3900,573,0,2,4.3,64,Family owned,Vehicle,3,1,17.2,0.67,0
South,Tier 3/Rural,Gig/Contract,35300,50,231000,24,Business,15200,717,0,1,5.6,54,Family owned,None,4,0,45.6,0.55,0
West,Tier 1,Salaried,32900,29,154000,24,Two-wheeler,900,690,0,1,5.4,72,Owned,None,0,0,4.6,0.39,0
West,Tier 1,Gig/Contract,27600,38,81000,36,Two-wheeler,12500,654,0,1,5.0,17,Owned,None,2,1,46.1,0.24,0
Northeast,Tier 2,Salaried,81100,38,174000,36,Consumer durable,12100,685,0,1,3.6,57,Family owned,None,1,1,15.5,0.18,0
Northeast,Tier 2,Self-employed,21800,37,225000,12,Home improvement,5100,706,0,0,5.7,68,Owned,None,1,0,31.6,0.86,0
South,Tier 1,Self-employed,72500,37,195000,12,Personal,11200,642,0,3,4.9,100,Rented,None,1,0,17.6,0.22,0
East,Tier 2,Salaried,60300,36,308000,6,Consumer durable,13800,677,0,2,11.5,67,Rented,Vehicle,2,0,31.0,0.43,0
East,Metro,Salaried,34200,38,81000,12,Business,13300,900,0,0,6.6,68,Owned,Gold,4,0,40.8,0.2,0
South,Tier 2,Business owner,56600,43,186000,12,Two-wheeler,200,631,0,0,3.9,52,Rented,Property,1,0,3.0,0.27,0
North,Tier 1,Self-employed,38700,48,764000,6,Two-wheeler,7700,834,0,0,11.9,98,Company provided,None,3,0,51.2,1.65,0
North,Tier 1,Salaried,23000,28,399000,18,Home improvement,1200,675,0,1,10.6,52,Family owned,Gold,0,0,14.4,1.45,0
East,Metro,Salaried,23200,34,312000,36,Two-wheeler,1500,731,0,1,5.0,100,Rented,None,2,0,10.0,1.12,0
West,Tier 1,Salaried,60500,32,269000,48,Business,18200,900,0,2,6.4,54,Rented,Gold,1,0,31.0,0.37,0
Northeast,Tier 1,Self-employed,58800,30,165000,18,Home improvement,9600,802,0,0,11.6,84,Family owned,None,4,0,17.8,0.23,0
South,Tier 1,Self-employed,48200,21,67000,12,Personal,1100,645,0,0,9.2,66,Rented,Property,2,0,3.4,0.12,0
Northeast,Metro,Salaried,34000,36,281000,36,Consumer durable,1700,531,1,1,1.9,57,Rented,Property,0,3,7.2,0.69,1
South,Metro,Self-employed,38000,41,43000,24,Two-wheeler,7200,694,0,1,3.1,85,Rented,None,3,1,19.4,0.09,0
East,Tier 2,Gig/Contract,35300,34,169000,18,Two-wheeler,1100,773,0,0,4.1,91,Owned,Gold,1,1,5.6,0.4,0
North,Metro,Gig/Contract,16100,36,208000,24,Business,5700,658,0,0,4.4,64,Owned,Gold,3,2,40.5,1.08,0
West,Tier 2,Salaried,43600,40,156000,84,Business,26200,741,0,2,5.5,67,Family owned,Gold,0,0,60.5,0.3,0
East,Tier 3/Rural,Salaried,56200,50,857000,24,Education,3600,857,0,0,7.1,60,Rented,None,1,0,12.4,1.27,0
Central,Tier 1,Salaried,43800,32,684000,60,Business,3900,872,0,1,5.5,71,Owned,Gold,1,0,11.4,1.3,0
East,Tier 3/Rural,Salaried,111600,24,409000,18,Consumer durable,19900,805,0,1,10.4,47,Owned,Vehicle,2,0,19.8,0.31,0
North,Metro,Salaried,24300,35,115000,12,Home improvement,1100,663,0,2,4.4,19,Company provided,None,3,0,8.3,0.39,0
South,Metro,Salaried,29300,55,729000,12,Medical,1500,529,0,0,10.4,33,Rented,None,2,0,24.8,2.07,0
North,Tier 2,Salaried,45400,24,312000,48,Personal,1700,632,0,0,6.6,63,Rented,None,0,0,5.1,0.57,0
North,Tier 2,Self-employed,48200,43,113000,24,Two-wheeler,3300,637,0,3,6.4,48,Owned,Property,1,0,7.8,0.2,0
West,Tier 3/Rural,Salaried,14800,48,213000,24,Business,4900,723,0,0,8.7,65,Company provided,None,2,0,38.8,1.2,0
East,Metro,Gig/Contract,58800,21,390000,84,Personal,15100,773,0,1,7.9,58,Family owned,None,1,0,26.4,0.55,0
East,Tier 2,Salaried,48400,40,142000,24,Home improvement,17500,876,0,0,5.5,54,Rented,None,1,0,37.3,0.24,0
Central,Tier 1,Self-employed,13200,42,229000,12,Two-wheeler,2500,831,0,1,3.6,55,Owned,Vehicle,2,0,32.7,1.45,0
East,Tier 1,Salaried,39600,33,257000,36,Two-wheeler,6900,686,0,4,11.6,84,Rented,Gold,2,1,19.1,0.54,0
East,Metro,Gig/Contract,27000,30,102000,12,Personal,4100,694,0,5,6.2,71,Family owned,None,2,1,18.2,0.31,0
North,Tier 3/Rural,Gig/Contract,32900,30,175000,24,Two-wheeler,5900,747,0,1,6.2,95,Family owned,None,1,0,20.0,0.44,0
North,Metro,Salaried,20200,33,107000,48,Two-wheeler,3500,636,0,2,19.1,69,Company provided,Vehicle,3,0,18.4,0.44,0
West,Tier 3/Rural,Self-employed,53000,33,368000,24,Business,18800,662,0,1,10.5,33,Rented,None,3,0,38.2,0.58,0
Central,Tier 2,Salaried,111200,31,116000,18,Business,10600,668,0,1,5.2,48,Owned,None,3,1,10.1,0.09,0
North,Tier 2,Self-employed,48800,33,253000,24,Personal,7400,857,0,1,5.9,69,Rented,Fixed deposit,3,2,17.2,0.43,0
West,Tier 2,Salaried,12900,48,85000,12,Personal,1900,739,0,2,3.4,71,Family owned,None,2,0,19.9,0.55,0
West,Tier 3/Rural,Salaried,49400,24,100000,18,Medical,15700,611,0,2,2.7,56,Owned,None,4,0,32.8,0.17,0
North,Metro,Salaried,37900,21,97000,24,Personal,15400,668,0,0,5.2,53,Owned,None,1,1,41.6,0.21,0
South,Metro,Business owner,23000,48,173000,18,Education,4400,787,0,0,7.6,56,Family owned,Vehicle,1,0,23.1,0.63,0
Central,Tier 2,Salaried,51300,34,235000,6,Education,21600,660,0,3,3.5,64,Rented,Vehicle,3,2,49.4,0.38,0
West,Tier 1,Self-employed,68500,32,265000,24,Business,18600,701,0,1,9.2,66,Family owned,None,3,0,28.7,0.32,0
North,Metro,Salaried,29200,35,66000,24,Medical,2200,762,0,1,3.0,47,Owned,Gold,1,1,8.4,0.19,0
Central,Metro,Salaried,17100,38,187000,24,Business,2400,858,0,0,5.2,71,Rented,Property,3,0,18.4,0.91,0
South,Tier 1,Salaried,14000,31,128000,84,Consumer durable,4100,844,0,2,8.7,71,Owned,Vehicle,2,0,30.3,0.76,0
Central,Metro,Business owner,29300,41,296000,12,Medical,1400,705,0,2,15.7,65,Rented,None,1,0,12.8,0.84,0
South,Metro,Gig/Contract,38700,26,176000,12,Personal,8300,691,0,0,12.6,55,Family owned,None,3,0,25.0,0.38,0
West,Tier 3/Rural,Salaried,31800,33,198000,48,Personal,5900,744,0,1,11.0,79,Rented,Property,2,0,19.8,0.52,0
South,Tier 1,Gig/Contract,29000,21,129000,12,Two-wheeler,10400,740,0,2,6.3,91,Rented,None,3,2,39.4,0.37,0
South,Tier 3/Rural,Salaried,57700,48,641000,60,Two-wheeler,2800,576,1,0,9.5,59,Owned,None,3,1,6.6,0.93,0
Central,Tier 3/Rural,Salaried,54400,34,91000,36,Business,3900,566,0,1,5.0,56,Family owned,None,0,0,7.6,0.14,0
North,Metro,Self-employed,47100,43,161000,24,Personal,9900,582,1,0,8.4,75,Company provided,Vehicle,3,4,22.4,0.28,0
North,Tier 2,Salaried,66100,41,224000,18,Personal,26300,627,1,1,2.5,46,Family owned,None,0,1,41.6,0.28,0
South,Tier 2,Salaried,29400,41,177000,18,Two-wheeler,6500,698,0,1,7.1,44,Owned,None,3,0,25.3,0.5,0
East,Tier 2,Self-employed,23100,36,127000,48,Business,8700,874,0,0,2.5,55,Rented,Gold,2,0,38.8,0.46,0
East,Metro,Salaried,31700,40,64000,6,Business,12500,659,0,1,10.7,73,Owned,None,2,1,42.6,0.17,0
Northeast,Metro,Business owner,30500,26,133000,36,Consumer durable,18500,806,0,1,9.2,51,Owned,None,3,1,61.8,0.36,0
South,Metro,Self-employed,13700,24,112000,48,Personal,1000,572,0,3,13.2,67,Owned,None,2,2,8.9,0.68,0
South,Tier 2,Business owner,31300,35,622000,36,Two-wheeler,8200,731,0,0,2.7,31,Owned,None,1,0,31.4,1.66,0
North,Tier 3/Rural,Self-employed,77500,29,911000,6,Consumer durable,22800,583,1,2,19.0,78,Owned,Fixed deposit,2,1,48.0,0.98,0
West,Tier 2,Business owner,65500,50,202000,36,Business,9600,737,0,0,5.8,93,Family owned,None,2,0,15.5,0.26,0
Northeast,Tier 2,Salaried,56300,40,84000,36,Business,3900,810,0,1,10.6,51,Owned,Vehicle,1,0,7.3,0.12,0
East,Tier 3/Rural,Self-employed,45400,29,338000,6,Education,23500,667,0,1,3.3,75,Family owned,None,1,0,63.5,0.62,1
West,Tier 2,Self-employed,93600,33,110000,60,Personal,4100,676,0,0,7.5,63,Family owned,None,2,0,4.6,0.1,0
South,Metro,Business owner,23600,37,146000,12,Consumer durable,6400,711,0,2,5.4,69,Rented,None,3,0,32.0,0.52,0
Central,Tier 3/Rural,Salaried,24800,35,139000,84,Business,1300,900,0,0,9.2,63,Rented,None,2,0,5.9,0.47,0
West,Tier 1,Self-employed,78300,39,151000,6,Business,5700,697,0,2,1.6,62,Family owned,None,3,1,10.3,0.16,0
North,Metro,Gig/Contract,42800,37,166000,12,Education,7800,696,0,0,3.1,52,Owned,None,2,0,21.3,0.32,0
South,Tier 2,Salaried,29200,22,89000,36,Two-wheeler,10900,758,0,1,11.2,47,Rented,Fixed deposit,4,1,38.1,0.25,0
North,Tier 3/Rural,Business owner,57200,21,132000,12,Personal,20500,595,0,1,3.0,87,Rented,None,3,0,37.7,0.19,0
North,Tier 1,Salaried,33200,32,406000,12,Home improvement,500,822,0,1,5.5,37,Family owned,Property,1,0,11.2,1.02,0
North,Tier 2,Salaried,26600,42,204000,6,Education,11300,763,0,1,5.0,67,Family owned,None,1,0,54.6,0.64,0
South,Metro,Self-employed,26200,32,227000,48,Personal,9100,538,0,0,7.0,66,Family owned,None,4,2,36.4,0.72,0
West,Metro,Salaried,50400,48,49000,6,Two-wheeler,6000,900,0,1,3.5,66,Rented,Gold,4,0,13.4,0.08,0
South,Metro,Salaried,47200,36,387000,36,Consumer durable,8100,714,0,0,11.8,79,Rented,None,1,1,19.3,0.68,0
South,Tier 2,Salaried,97200,50,134000,24,Two-wheeler,10700,549,1,3,7.1,60,Family owned,None,3,0,11.6,0.11,0
Northeast,Tier 3/Rural,Salaried,36000,48,434000,24,Two-wheeler,12800,710,0,3,12.5,79,Family owned,None,3,2,40.3,1.0,0
East,Metro,Gig/Contract,35600,47,231000,24,Business,3300,649,0,1,9.2,100,Rented,None,1,0,11.8,0.54,0
West,Tier 1,Business owner,93100,24,145000,18,Home improvement,20000,632,0,1,6.9,64,Company provided,Vehicle,2,0,22.3,0.13,0
South,Metro,Self-employed,72600,36,70000,60,Business,20000,662,0,1,0.8,30,Family owned,None,2,1,27.7,0.08,0
Central,Metro,Salaried,45700,48,859000,48,Medical,17100,708,0,3,8.4,64,Rented,Fixed deposit,0,1,41.1,1.57,0
